origem,ensaio,grupo,cp,medicao,data_hora,t,massa,Comp_Long,Comp_Tang,Comp_Rad,estufa,Volume,Densidade_Aparente,U_pct,Tempo_Ultrassom_Long,Tempo_Ultrassom_Tang,Tempo_Ultrassom_Rad,VLL_Long,VLL_Tang,VLL_Rad,CLL,CRR,CTT,EL,ER,ET
Controle CP's A-D (Compressão),Compressão,A,7,1,6/13/25 16:30,"0,00","21,47","75,90","25,32","25,30",0,"48621,2364","441,5765947",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,2,6/16/25 9:30,"65,00","21,78","75,89","25,37","25,38",0,"48864,85763","445,7190925",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,3,6/16/25 16:30,"72,00","21,10","75,95","25,21","25,23",0,"48307,86839","436,7818475",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,4,6/17/25 9:30,"89,00","20,41","75,87","24,94","25,01",0,"47323,86698","431,2834369",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,5,6/17/25 16:30,"96,00","20,28","75,87","24,95","25,01",0,"47342,84207","428,3646506",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,6,6/18/25 16:30,"120,00","20,05","75,85","24,90","25,01",0,"47235,51165","424,4687799",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,7,6/19/25 16:30,"144,00","19,98","75,87","24,84","24,88",0,"46889,1167","426,1116738",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,8,6/20/25 16:30,"168,00","19,78","75,85","24,77","24,80",0,"46594,3516","424,5149749",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,9,6/21/25 16:30,"192,00","19,88","75,86","24,77","24,81",0,"46619,28508","426,4329658",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,10,6/22/25 16:30,"216,00","20,08",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,11,6/23/25 16:30,"240,00","18,61",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,12,6/24/25 16:30,"264,00","18,63",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,7,13,6/25/25 16:30,"288,00","18,58",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,1,6/13/25 16:30,"0,00","23,46","75,12","24,96","24,84",0,"46574,88077","503,7049932",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,2,6/16/25 9:30,"65,00","23,87","75,16","25,02","24,90",0,"46824,52968","509,7755421",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,3,6/16/25 16:30,"72,00","23,23","75,08","24,88","24,80",0,"46326,16192","501,4445194",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,4,6/17/25 9:30,"89,00","22,46","75,04","24,75","24,68",0,"45836,6832","490,0005505",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,5,6/17/25 16:30,"96,00","22,36","75,06","24,70","24,66",0,"45719,19612","489,0724662",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,6,6/18/25 16:30,"120,00","22,10","75,00","24,57","24,60",0,"45331,65","487,5181027",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,7,6/19/25 16:30,"144,00","22,03","75,00","24,54","24,58",0,"45239,49","486,9639335",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,8,6/20/25 16:30,"168,00","21,78","74,99","24,55","24,56",0,"45215,07052","481,6978001",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,9,6/21/25 16:30,"192,00","21,89","74,97","24,57","24,57",0,"45258,25695","483,6686491",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,10,6/22/25 16:30,"216,00","22,14",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,11,6/23/25 16:30,"240,00","20,51",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,12,6/24/25 16:30,"264,00","20,53",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,8,13,6/25/25 16:30,"288,00","20,51",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,1,6/13/25 16:30,"0,00","14,90","75,58","24,03","24,12",0,"43806,44009","340,1326373",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,2,6/16/25 9:30,"65,00","15,23","75,76","24,15","24,20",0,"44276,4168","343,9754411",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,3,6/16/25 16:30,"72,00","14,70","75,69","24,03","24,06",0,"43761,06664","335,9150297",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,4,6/17/25 9:30,"89,00","14,23","75,68","23,76","23,96",0,"43083,83693","330,2862747",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,5,6/17/25 16:30,"96,00","14,16","75,66","23,71","23,98",0,"43017,68843","329,1669199",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,6,6/18/25 16:30,"120,00","14,04","75,64","23,65","23,93",0,"42808,04198","327,9757576",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,7,6/19/25 16:30,"144,00","14,08","75,61","23,60","23,93",0,"42700,59628","329,7377842",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,8,6/20/25 16:30,"168,00","13,93","75,62","23,54","23,89",0,"42526,46477","327,5607336",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,9,6/21/25 16:30,"192,00","14,05","75,62","23,56","23,90",0,"42580,41208","329,9639274",,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,11,6/23/25 16:30,"240,00","14,22",,,,1,,,,,,,,,,,,,,,
Controle CP's A-D (Compressão),Compressão,A,9,12,6/24/25 16:30,"264,00","13,13",,,,1,,,,,,,,,,,,,,,
