grupo,cp,massa_inicial,massa_final,Comp_Long_inicial,Comp_Long_final,Comp_Tang_inicial,Comp_Tang_final,Comp_Rad_inicial,Comp_Rad_final,Volume_inicial,Volume_final,Densidade_Aparente_inicial,Densidade_Aparente_final,U_pct,Tempo_Ultrassom_Long,Tempo_Ultrassom_Tang,Tempo_Ultrassom_Rad,VLL_Long,VLL_Tang,VLL_Rad,CLL,CRR,CTT,EL,ER,ET
A,13,"14,2000","12,5500","50,1500","50,1700","30,3000","29,5700","18,2700","18,0400","27762,0872","26762,8253","511,4889","468,9340","13,1474","10,7300","16,7300","8,7400","4669,1519","1779,4381","2069,7941","10617,3527","2086,3853","1542,0769","10,6174","2,0864","1,5421"
A,14,"16,0000","14,1800","49,8600","49,9700","30,2000","29,2500","17,3600","16,7900","26140,2019","24540,6418","612,0840","577,8170","12,8350","9,5500","15,6000","7,9900","5215,7068","1895,5128","2128,9111","16156,8648","2691,8188","2133,9498","16,1569","2,6918","2,1339"
A,15,"12,7900","11,4700","49,6900","49,8400","30,3900","29,5900","17,6400","17,4100","26637,7953","25675,6691","480,1448","446,7264","11,5083","9,3300","16,2700","8,3400","5331,1897","1826,6749","2088,7290","13067,6424","2005,9180","1534,1629","13,0676","2,0059","1,5342"
A,16,"13,4600","11,9900","50,3300","50,3700","30,6000","30,0300","19,3400","19,2400","29785,4953","29102,6376","451,8978","411,9901","12,2602","12,7700","16,5200","8,7700","3933,4377","1820,8232","2182,4401","6628,7696","2040,6712","1420,4434","6,6288","2,0407","1,4204"
A,17,"13,2300","11,9200","49,5800","50,4800","30,1800","29,4900","17,6700","17,5300","26440,0521","26096,1257","500,3772","456,7728","10,9899","9,6800","16,2500","8,1900","5134,2975","1825,2308","2131,8681","12618,3043","2175,5026","1594,6835","12,6183","2,1755","1,5947"
A,18,"13,2200","11,8600","50,0800","50,1400","30,5000","30,0700","19,3900","19,1600","29617,0616","28887,7198","446,3643","410,5551","11,4671","12,4400","16,4200","8,8100","4012,0579","1826,4312","2178,2066","6853,6485","2020,1591","1420,3457","6,8536","2,0202","1,4203"
A,19,"13,3600","11,9800","50,3300","50,7900","30,5700","29,7500","18,9700","18,6900","29187,0163","28240,6367","457,7378","424,2114","11,5192","10,3500","16,6900","8,8200","4857,0048","1796,2852","2132,6531","10277,1979","1981,4270","1405,6857","10,2772","1,9814","1,4057"
A,20,"13,6900","12,3400","50,4500","50,6600","30,2100","29,7600","19,1300","19,1500","29155,9278","28871,3366","469,5443","427,4135","10,9400","11,8700","15,5200","8,5100","4245,9983","1910,4381","2225,6169","8095,9903","2224,3912","1638,9900","8,0960","2,2244","1,6390"
A,21,"13,8800","12,6300","49,8600","50,1900","29,4000","28,9900","18,9600","18,8200","27793,1606","27383,2524","499,4034","461,2308","9,8971","9,2400","15,2100","8,8100","5397,1861","1893,4911","2122,5880","13925,9989","2153,8872","1714,0288","13,9260","2,1539","1,7140"
A,22,"13,4900","11,9500","50,4300","50,4700","30,7700","30,1800","19,0100","19,1700","29498,4082","29199,4488","457,3128","409,2543","12,8870","13,8800","16,3400","8,3600","3621,7579","1850,0612","2255,9809","5679,6543","2203,7072","1482,0240","5,6797","2,2037","1,4820"
A,23,"13,1600","11,8500","50,9400","50,8400","30,6900","30,1500","18,7600","18,8800","29328,4197","28939,7549","448,7115","409,4713","11,0549","13,2800","15,8900","8,1200","3822,2892","1899,9371","2290,6404","6222,5457","2234,7804","1537,4445","6,2225","2,2348","1,5374"
A,24,"12,8200","11,4000","50,0600","50,0000","30,3700","29,6900","19,2700","19,1300","29296,6088","28398,4850","437,5933","401,4299","12,4561","11,7900","15,6100","8,4400","4243,4266","1907,7514","2255,9242","7509,2403","2122,3236","1517,7708","7,5092","2,1223","1,5178"
B,7,"12,6800","11,1700","50,2400","50,0100","30,5800","29,6800","19,0300","18,8100","29236,5350","27919,6228","433,7039","400,0770","13,5184","12,7600","15,9100","8,1400","3931,8182","1899,4343","2312,0393","6528,5347","2257,4560","1523,6227","6,5285","2,2575","1,5236"
B,8,"14,0400","12,5500","49,8600","50,3600","30,5800","29,9800","19,4100","19,1800","29594,7919","28957,8259","474,4078","433,3889","11,8725","11,5400","16,4400","8,7300","4311,9584","1844,8905","2201,6037","8614,7411","2245,8016","1577,0095","8,6147","2,2458","1,5770"
B,9,"14,4000","12,8500","49,8000","49,9200","30,3800","29,3800","19,6900","18,2100","29789,4736","26707,6892","483,3922","481,1348","12,0623","9,6200","16,1800","8,8900","5173,5967","1845,4883","2068,6164","13348,7875","2134,1091","1698,5536","13,3488","2,1341","1,6986"
B,10,"14,1400","12,5600","50,2800","50,2300","30,6500","29,6900","19,2600","19,0800","29681,2393","28454,5516","476,3952","441,4057","12,5796","9,9200","17,1600","9,1000","5055,4435","1759,3240","2098,9011","11878,1931","2047,4618","1438,5452","11,8782","2,0475","1,4385"
B,11,"12,4400","11,0600","50,0300","49,8700","30,3800","29,6900","18,0500","17,8100","27434,4008","26370,2037","453,4453","419,4128","12,4774","11,4900","17,5700","8,5700","4346,3882","1715,4240","2079,3466","8388,2100","1919,8444","1306,6379","8,3882","1,9198","1,3066"
B,12,"14,8300","13,0800","50,0800","50,1300","30,2600","29,1800","19,0200","18,5600","28823,3036","27149,4455","514,5142","481,7778","13,3792","9,6100","16,3000","8,9500","5211,2383","1825,7669","2097,2067","13697,6908","2218,4414","1681,3423","13,6977","2,2184","1,6813"
B,31,"13,4200","11,9300","50,0300","49,9100","30,6100","30,0400","19,2000","19,0100","29403,2314","28501,6246","456,4124","418,5726","12,4895","13,6200","16,4200","8,5300","3663,7298","1841,0475","2234,4666","5957,1147","2215,8319","1504,2467","5,9571","2,2158","1,5042"
B,32,"13,2600","11,8400","50,7700","50,5400","30,5500","29,9600","19,0200","18,8100","29500,4670","28481,6957","449,4844","415,7056","11,9932","13,2900","16,2200","8,3400","3805,8691","1862,5154","2252,9976","6366,6461","2231,1280","1524,7645","6,3666","2,2311","1,5248"
B,33,"13,9600","12,4600","50,2100","50,2900","30,3800","29,8300","19,5100","19,1600","29760,1599","28742,8874","469,0835","433,4985","12,0385","11,7000","16,7500","8,9700","4288,8889","1790,4478","2151,6165","8448,5268","2126,2833","1472,3624","8,4485","2,1263","1,4724"
B,34,"13,9200","12,4700","50,6700","50,7500","30,2200","29,7200","19,2400","18,8100","29461,2000","28370,9349","472,4858","439,5343","11,6279","10,9800","17,4000","8,7700","4614,7541","1713,2184","2157,3546","9873,6788","2157,8683","1360,8408","9,8737","2,1579","1,3608"
B,35,"13,1400","11,7200","50,2700","50,2100","30,7500","30,1700","19,0300","18,9200","29416,6216","28660,6914","446,6862","408,9224","12,1160","13,5300","16,6100","8,4100","3712,4908","1834,4371","2246,1356","5954,2301","2179,5497","1453,7860","5,9542","2,1795","1,4538"
B,36,"13,6600","12,2000","50,9100","50,8800","29,2800","28,2900","18,8200","18,5700","28053,9351","26729,5689","486,9192","456,4234","11,9672","10,1300","15,7800","8,7300","5015,7947","1822,5602","2136,3116","11982,2197","2173,6367","1582,0549","11,9822","2,1736","1,5821"
C,1,"13,3800","12,0000","49,9300","49,5500","30,6900","30,0200","19,2200","19,1500","29451,7997","28485,4527","454,3016","421,2677","8,6667","17,4700","16,4800","8,5700","2852,3183","1851,3350","2229,8716","3651,5712","2231,7397","1538,3452","3,6516","2,2317","1,5383"
C,2,"14,2300","12,7500","49,8700","49,8800","30,3900","29,3500","18,4900","18,0200","28022,5066","26380,8836","507,8061","483,3045","9,0980","9,2800","17,2300","8,8100","5372,8448","1751,5961","2091,9410","14479,0104","2194,9728","1538,8568","14,4790","2,1950","1,5389"
C,3,"14,3400","12,9700","49,5600","49,4200","30,3000","29,4800","17,0000","16,7300","25528,3560","24373,9638","561,7283","532,1252","7,9414","9,3900","17,2700","8,4100","5280,0852","1742,9068","2023,7812","15366,5836","2257,4731","1674,3405","15,3666","2,2575","1,6743"
C,4,"15,2600","13,8800","50,3800","50,4800","30,7500","29,9500","19,5400","19,4000","30271,0749","29330,3944","504,1116","473,2292","7,9971","14,4700","17,2800","9,3500","3481,6862","1772,5694","2072,7273","6076,0587","2153,4115","1574,8863","6,0761","2,1534","1,5749"
C,5,"13,6100","12,3000","49,9000","49,8000","30,5400","29,7400","19,2600","19,0000","29351,2000","28139,9880","463,6948","437,1004","7,5610","14,4400","16,8000","8,5800","3449,4460","1798,2143","2240,0932","5442,9944","2295,4688","1479,1836","5,4430","2,2955","1,4792"
C,6,"13,0700","11,9300","50,7500","50,7700","30,3500","29,5400","19,2400","19,1400","29634,6505","28705,1346","441,0378","415,6051","6,9573","12,2500","16,0700","8,6400","4138,7755","1873,6777","2217,5926","7472,7456","2145,3590","1531,5325","7,4727","2,1454","1,5315"
C,25,"12,7100","11,7800","49,7300","49,7500","30,1400","29,7200","17,5800","17,6500","26349,9975","26096,7605","482,3530","451,3970","7,4703","9,7300","17,8600","8,7800","5109,9692","1701,0078","2042,1412","12205,9359","1949,4229","1352,5308","12,2059","1,9494","1,3525"
C,26,"12,5100","11,2400","50,3300","50,0200","30,3800","29,8600","18,9700","18,7400","29005,6118","27990,0115","431,2958","401,5718","10,4982","13,1800","16,6100","8,3800","3830,0455","1846,4780","2264,9165","6200,1206","2168,1865","1441,0550","6,2001","2,1682","1,4411"
C,27,"13,9300","12,4900","49,8000","49,6600","29,7000","28,9100","18,3300","18,1400","27111,1698","26043,0647","513,8104","479,5903","13,8511","9,3600","17,5700","10,2600","5323,7179","1695,5037","1790,4483","14779,4791","1671,6781","1499,0859","14,7795","1,6717","1,4991"
C,28,"12,9200","11,5300","50,2900","50,0100","30,3700","29,8700","19,1200","18,8500","29202,1156","28158,1055","442,4337","409,4736","14,6574","14,6100","17,6100","9,1300","3446,9541","1739,3526","2097,4808","5317,4201","1968,9104","1353,9581","5,3174","1,9689","1,3540"
C,29,"13,0800","11,8100","49,6800","49,6200","30,1000","29,6900","19,2800","19,0400","28830,6950","28050,0669","453,6831","421,0329","10,0762","11,8300","16,4900","9,1100","4203,7194","1836,2644","2126,2349","7876,0204","2014,9389","1502,8299","7,8760","2,0149","1,5028"
C,30,"13,5000","12,3900","50,8100","50,6700","29,8400","29,3600","19,0500","18,7100","28883,0461","27834,3282","467,4022","445,1338","11,7837","12,8800","16,9200","9,2100","3945,6522","1778,9598","2077,0901","7368,3669","2041,9463","1497,8417","7,3684","2,0419","1,4978"
